Date,Type,Stock,Price,Lot,Total,Commission
11-10-2022,Buy,SISE.IS,29.98,10.0,299.8,0.63
13-10-2022,Buy,PETKM.IS,14.7,20.0,294.0,0.61
18-11-2022,Buy,ODAS.IS,11.59,20.0,231.8,0.48
18-11-2022,Buy,PGSUS.IS,338.9,1.0,338.9,0.71
24-11-2022,Buy,AKBNK.IS,17.59,30.0,527.7,1.1
30-11-2022,Buy,PETKM.IS,18.13,20.0,362.6,0.76
02-12-2022,Buy,AKBNK.IS,17.12,15.0,256.8,0.54
02-12-2022,Buy,PGSUS.IS,409.3,1.0,409.3,0.86
06-12-2022,Buy,ALFAS.IS,199.3,1.0,199.3,0.42
06-12-2022,Sell,ALFAS.IS,199.4,-1.0,-199.4,0.42
07-12-2022,Sell,ALFAS.IS,180.9,-1.0,-180.9,0.38
19-12-2022,Buy,EREGL.IS,41.54,5.0,207.7,0.43
19-12-2022,Buy,TUPRS.IS,464.4,1.0,464.4,0.97
20-12-2022,Buy,SISE.IS,41.64,10.0,416.4,0.87
21-12-2022,Buy,TUPRS.IS,480.3,1.0,480.3,1.0
26-12-2022,Buy,EREGL.IS,41.5,10.0,415.0,0.87
14-10-2022,Buy,EREGL.IS,29.38,15.0,440.7,0.92
28-12-2022,Buy,ODAS.IS,10.5,20.0,210.0,0.44
30-12-2022,Buy,KRDMD.IS,18.4,35.0,644.0,1.35
27-01-2023,Buy,KRDMD.IS,17.28,20.0,345.6,0.72
01-02-2023,Buy,AKBNK.IS,17.08,55.0,939.4,1.96
02-02-2023,Buy,ODAS.IS,6.53,20.0,130.6,0.27
02-02-2023,Buy,AKBNK.IS,14.51,10.0,145.1,0.3
16-02-2023,Buy,AKBNK.IS,16.2,20.0,324.0,0.68
17-02-2023,Buy,YKBNK.IS,9.05,40.0,362.0,0.76
03-07-2023,Buy,FROTO.IS,779.3,2.0,1558.6,3.26
06-07-2023,Buy,CANTE.IS,31.12,35.0,1089.2,2.28
12-07-2023,Sell,CANTE.IS,26.56,-35.0,-929.6,1.94
19-10-2022,Buy,ODAS.IS,7.84,50.0,392.0,0.82
17-07-2023,Buy,KCHOL.IS,112.4,3.0,337.2,0.7
19-07-2023,Sell,ODAS.IS,8.77,-75.0,-657.75,1.37
19-07-2023,Buy,TUPRS.IS,88.5,5.0,442.5,0.92
20-07-2023,Buy,TUPRS.IS,90.4,2.0,180.8,0.38
25-10-2022,Buy,KRDMD.IS,12.48,25.0,312.0,0.65
25-10-2022,Buy,THYAO.IS,100.9,3.0,302.7,0.63
26-10-2022,Buy,EREGL.IS,30.28,10.0,302.8,0.63
27-10-2022,Buy,SISE.IS,33.92,10.0,339.2,0.71
27-10-2022,Buy,EREGL.IS,30.86,15.0,462.9,0.97
07-11-2022,Buy,SISE.IS,34.2,20.0,684.0,1.43
08-11-2022,Buy,EREGL.IS,36.0,10.0,360.0,0.75
08-11-2022,Buy,THYAO.IS,107.7,3.0,323.1,0.68
10-11-2022,Buy,TUKAS.IS,20.32,25.0,508.0,1.06
2022-11-09,Buy,ALFAS.IS,58.5,1.0,58.5,0.1
2022-12-09,Buy,BRKVY.IS,14.2,11.0,156.2,0.1
2023-01-04,Sell,BRKVY.IS,30.18,-11.0,-331.98,0.1
2023-04-06,Buy,KOPOL.IS,24.5,19.0,465.5,0.1
2023-04-12,Buy,EUPWR.IS,40.6,20.0,812.0,0.1
2023-04-27,Buy,CWENE.IS,108.6,7.0,760.2,0.1
2023-07-20,Buy,KLSER.IS,25.0,50.0,1250.0,0.1
2023-07-28,Buy,ASGYO.IS,12.6,50.0,630.0,0.1
2023-08-10,Sell,ASGYO.IS,19.2,-50.0,-960.0,0.1
